,Name,Team,L/R,POS,IP,GS,GP,HA,R,ER,HR,BB,K,W,L,S,HD,BS,ERA,WHIP,SB,CS,SBP,W-Z,K-Z,S-Z,ERA-Z,WHIP-Z,Z-SUM,Z-SUM-A,ACV,
1,Garrett Crochet,BOS,LEFT,SP,205.33333333333331,32,32,219,62,59,24,46,255,18,5,0,0,0,2.586,1.291,13,7,0.063,2.552,2.709,-0.506,1.913,1.666,8.334,13.703,32.596574716436436,
2,Tarik Skubal,DET,RIGHT,SP,195.33333333333334,31,31,187,55,48,18,33,241,13,6,0,0,0,2.212,1.126,3,4,0.015,1.24,2.402,-0.506,2.39,2.716,8.241,13.61,32.3753471422827,
3,Paul Skenes,PIT,RIGHT,SP,187.66666666666666,32,32,186,45,41,11,42,216,10,10,0,0,0,1.966,1.215,4,2,0.021,0.453,1.853,-0.506,2.656,2.023,6.478,11.847,28.181538397841525,
4,Max Fried,NYA,LEFT,SP,195.33333333333334,32,32,211,73,62,14,51,189,19,5,0,0,0,2.857,1.341,6,5,0.031,2.814,1.259,-0.506,1.408,1.236,6.211,11.58,27.54640116881952,
5,Carlos Rodon,NYA,LEFT,SP,195.33333333333331,33,33,181,74,67,22,73,203,18,9,0,0,0,3.087,1.300,17,3,0.087,2.552,1.567,-0.506,1.057,1.518,6.187,11.556000000000001,27.489310181941143,
6,Cristopher Sanchez,PHI,LEFT,SP,202.0,32,32,218,58,56,12,44,212,13,5,0,0,0,2.495,1.297,10,4,0.05,1.24,1.765,-0.506,2.025,1.593,6.117,11.486,27.32279480354586,
7,Freddy Peralta,MIL,RIGHT,SP,176.66666666666669,33,33,168,54,53,21,66,204,17,6,0,0,0,2.700,1.325,12,1,0.068,2.29,1.589,-0.506,1.489,1.222,6.084,11.453,27.24429469658808,
8,Bryan Woo,SEA,RIGHT,SP,186.66666666666666,30,30,189,64,61,26,36,198,15,7,0,0,0,2.941,1.205,4,1,0.021,1.765,1.457,-0.506,1.223,2.075,6.013,11.382,27.075400527072865,
9,Hunter Brown,HOU,RIGHT,SP,185.33333333333331,31,31,173,55,50,17,57,206,12,9,0,0,0,2.428,1.241,20,8,0.108,0.978,1.633,-0.506,1.955,1.828,5.887,11.256,26.77567284596136,
10,Yoshinobu Yamamoto,LAN,RIGHT,SP,173.66666666666669,30,30,147,53,48,14,59,201,12,8,0,0,0,2.487,1.186,7,5,0.04,0.978,1.523,-0.506,1.752,2.048,5.794,11.163,26.55444527180763,
11,Nick Pivetta,SDN,RIGHT,SP,181.66666666666666,31,31,172,63,58,22,50,190,13,5,0,0,0,2.873,1.222,9,3,0.05,1.24,1.281,-0.506,1.286,1.913,5.214,10.583,25.17474642224672,
12,Jacob deGrom,TEX,LEFT,SP,172.66666666666669,30,30,168,57,57,26,37,185,12,8,0,0,0,2.971,1.187,11,6,0.064,0.978,1.172,-0.506,1.09,2.03,4.763,10.132,24.101911627157115,
13,Zack Wheeler,PHI,LEFT,SP,149.66666666666666,24,24,149,48,45,19,33,195,10,5,0,0,0,2.706,1.216,4,4,0.027,0.453,1.391,-0.506,1.255,1.608,4.2,9.568999999999999,22.76265222663506,
14,Nathan Eovaldi,TEX,RIGHT,SP,130.0,22,22,121,28,25,10,21,129,11,3,0,0,0,1.731,1.092,4,1,0.031,0.715,-0.059,-0.506,2.078,1.963,4.191,9.559999999999999,22.741243106555665,
15,Logan Webb,SFN,RIGHT,SP,207.00000000000003,34,34,276,82,74,14,46,224,15,11,0,0,0,3.217,1.556,9,7,0.043,1.765,2.028,-0.506,0.91,-0.252,3.944,9.312999999999999,22.153681699932314,
16,Joe Ryan,MIN,RIGHT,SP,170.99999999999997,30,31,196,69,65,26,39,194,13,10,0,0,0,3.421,1.374,21,11,0.123,1.24,1.369,-0.506,0.48,0.884,3.466,8.835,21.016619544604534,
17,Matt Boyd,CHN,LEFT,SP,179.66666666666669,31,31,201,69,64,19,42,154,14,8,0,0,0,3.206,1.353,5,3,0.028,1.502,0.491,-0.506,0.806,1.066,3.358,8.727,20.759710103651813,
18,Aroldis Chapman,BOS,LEFT,RP,61.33333333333334,0,67,36,9,8,3,15,85,5,3,32,0,0,1.174,0.832,4,0,0.065,-0.859,-1.025,2.411,1.247,1.489,3.263,8.632,20.533724947258214,
