POS Nick
CC 68,"William Contreras, MIL, C"
CC 100,"Agustin Ramirez, MIA, C"
1B 36,"Rafael Devers, SFG, 1B"
1B 47,"Josh Naylor, SEA, 1B"
2B 81,"Nico Hoerner, CHC, 2B"
2B 213,"JJ Wetherholt, STL, SS/2B"
3B 29,"Manny Machado, SDP, 3B"
3B 73,"Alex Bregman, CHC, 3B"
SS 18,"Trea Turner, PHI, SS"
SS 32,"Mookie Betts, LAD, SS"
MI 79,"Corey Seager, TEX, SS"
CI 189,"Sal Stewart, CIN, 1B/3B"
LF 80,"Riley Greene, DET, LF"
LF 78,"Randy Arozarena, SEA, LF"
CF 17,"Jackson Chourio, MIL, CF/LF/RF"
CF 93,"Oneil Cruz, PIT, CF"
RF 2,"Aaron Judge, NYY, RF"
RF 15,"Kyle Tucker, LAD, RF"
DH 21,"Kyle Schwarber, PHI, DH"
DH 6,"Corbin Carroll, ARI, RF"
DH 13,"Fernando Tatis Jr., SDP, RF"
SP 41,"Logan Gilbert, SEA, SP"
SP 106,"Kyle Bradish, BAL, SP"
SP 63,"George Kirby, SEA, SP"
SP 146,"Tyler Glasnow, LAD, SP"
SP 104,"Eury Perez, MIA, SP"
SP 67,"Dylan Cease, TOR, SP"
SP 129,"Chase Burns, CIN, SP"
SP 105,"Kevin Gausman, TOR, SP"
SP 121,"Jacob Misiorowski, MIL, SP"
SP 84,"Spencer Strider, ATL, SP"
RP 56,"Mason Miller, SDP, RP"
RP 58,"Edwin Diaz, LAD, RP"
RP 181,"Abner Uribe, MIL, RP"
RP 176,"Jeremiah Estrada, SDP, RP"
RP 122,"Robert Suarez, ATL, RP"
RP 244,"Griffin Jax, TBR, RP"
RP 123,"Jason Adam, SDP, RP"
RP 258,"Alex Vesia, LAD, RP"
RP 119,"Josh Hader, HOU, RP"

